BANG, 3, A GIANT CLAW RIPS THROUGH THE SILO DOOR RIGHT BETWEEN THE
KYLE, 1, The Abbot will be pleased what You want to be the Physician I have Sorry Look I know Not coming down John Wait go in John what is it Is this a Supply ship John Just get the hell out of there Her Look this is not the supply ship You have gone in What was it like in there Just lights Hey Watch it What What is it John relax Take a deep breath Is that it John Is it the book gonna be fine Now Sure gonna be fine Wait JOHN sotto Cards on the floor fifty two pickup Ace up Put the ace up Redaceupup
JOHN, 0, Please tell him At least until You but thanks anyway I have someone waiting for me Come on Mattias Brother Philip My training has taught me to feed How could I forget Have a good meal Perfect He likes when I read to him and I Father I reserve judgement until the patient Thank you In the year of our Lord I Brother fled I have put this to parchment lest No No supplies Kyle someone I want to stay I have to get her All right supposed to be a doctor She been lost Lights So many lights Machines Buttons Metal Thousands of lights Like the stars out of it Out of it I think here yet She is close though What is it wrong But I Her meals Father I understand What Huh A woman One of your sheep Jesus Christ no help Okay let me get my bag So would I freezing in here we all May be pneumonia Pitch some of that hay First Wait a minute I know all over the ground Jesus Help m This woman Ripley I tended her Please sir let me finish I feel that I understand what you are doing From what This woman You never gave You see this thing this demon I I know what it was But I But she tried to warn us But I believe her I know how to points to his head her conviction I just think what she said But I slowly Now find John and have him brought to I Abbot Must panting humor me hoarse Anthony Thought you dead fifteen years I looking the Abbot Puh pant Please Wait a minute I thought you were the Yes I mean no I mean that was part of We all are Took vows sure he thinks what he did was right No Charity Arceon We Leave Arceon leave the library Books The reason we are out here Like the Some of these books survived the burning supposed to protect them a spy Colony The order was more of a counter culture After a scare like that thousands flocked They sold the technology A movement We were sentenced as political dissidents beat The Abbey the fields The sea As a stone falls Five miles through Ropes cut There are ladders You I need you I do it alone We renounced technology It was those God I know I just took it for granted five levels up A chance Those things you said before I read about it in psychology books You make it sound human I think I do Jesus Christ Ripleeeee welcome Hold this against your nose a doctor Visions portents They stand for an You need sleep No We all need rest You especially orders Besides you see what happens when you What do you mean See my bag Just a book just a medical book I might need Only if you can eat bandages You all right You hurt when I landed on you Sort of My father passed on when we You eaten since I took you Blood Getting close Father No one could be We are going to the Technology Room Please Sir Ripley Brother I just are you allright Hello I think this is it HURRY I thought lost you Last will and testament Resting Sir all in the same coracle so Yes What Ripley wait Ripley I believe I know that we can win If true then all of us the books How does this explain the thing that came No what Brother We had better go then Must be day on the surface of the planet Mirrors Reflect the outside light down Opens to the surface Water flows in We cross be fine been on Father Anselm used to take me on his Five The Abbot said they put us to Never had one I mean never knew her The girl in the ship with Jesus Christ You choose to get lost in space Brother From the levels above He must have slaughtered all Andrew And Raphael Peter right below the Abbey now This is the glassworks They have Kyle Brother Kyle Kyle goddammit Keep singing my friend I killed him a doctor and I No He been up here yet I Here philosophy start here Mattias He waited Ripley this is Mattias My Easy boy Not that will do us any good We hurt it On the roof directly above this room But the books No THE BOOKS Are you all right Ripley Ripley the lever Saw that happen to a bottle once got to get to the Library Some of them got to save some of The Library What does that mean It means the Abbot been right Not everything Some things will be What can I do Hey What Hey locked in What What You My book I know what to do You do this Ripley listen NO No Goddammit you do this Listen to me You have to let me try I told you Father Anselm raised me Please forceful Shut up and drink Choking It was the only way They knew idea Joinmy brothers If You are from the real world Stay both of you We were looking at apartments Eight We were going out for my alright alright be There are soldiers near here Guards Right We better get away from that Bee He Bees what we call the dead the He was a pirate who sailed these waters the man been holed up here Captain Rhodes and his Red Coat Bees They Give that to me Get behind me Stay behind I know you can Like I said we been explaining We found nine entrances to the How we gonna break the curse without a What is it if it a curse That sounds like a curse to me sure true miss And why why we use prayers on this You think you can find your boat a We see the exact spot but we know Farther than you think get lost We need her guns that bad Billy boy split up Billy you go with Spider The fences make a safe pathway to Stalag This is home Home for us that a tunnel a couple hundred yards OK OK Doc with us This the hospital Diesel This all the weapons we got Ammunition You got ammunition in your pack We better just hide the whole pack go You look like you could use some This just your day is it Three more minutes Then you can sleep You They supply us with disinfectant and dope You disappear in here You get a This is your hotel not gonna stay here Some may notice that new Just deny just finding another reason for no place safe The hospital surprised worried Maybe Give him a chance tell that soldier soldier You We got a boat I say we got a boat Can you get other gonna trust him Diesel He already walk around here with these sick Doc You been sick for a while helped us enough cover you can show us where ta go gonna blow up the powder magazine We know down there We did the Datura Datura Metel The Trumpet We always planned to use it We got some Quicker than gas And it smells a lot I say poetic Pure calypso brother only about a quartermile from Cave Come on go Just stand guard for now Spell us after a Wellif ya think about itwe as ready What you wanna do What is it Damn you island Damn you ta Hell and Satan sent this man back Not yet Just me take the next shift Forever Forever he turns ta Some of us have to get some sleep around Enough continuing Shitheads Defacing my property I showed Kids are ruining this country continuing Who the hell told you to come live here in the She show her face for five years then What the fuck it Debra keep slipping her the cash re Danny You ever raise your hand to me again kill I want her and that kid out of here tonight barking What is it this time What the fuck are you doing letting strangers What in name are you talking about whispers Trickortreat to you too Pretty woman walking down the street Damn kid this is my house continuing Debra home continuing mutters All right You can all come out now What is this shit So this is the game you wanna play Fine Go Is that you you little brat Danny continuing continuing What the hell time with that guy Yo man I think that devil guy just got Yeah You do it That way The Dark Prince is here Six six six pick up sticks By the way Nicky Check this out No wonder your so weird Come on One more time She was human I dated a Japanese girl once My By she do you mean he Easy Liberace a big pass Elton John Whoa that chick must be the real deal like a total mob scene coming What would your dad do Nicky Look at Queen Latifah up Little nervous Wanna puke Sure do You got what we want We think the son of Satan Noon But what about the cash Can we keep it No thanksbut take that bottle Schnapps Wanna hit Weed lowers the body temperature And give you a good buzz Uh No it Urrugggerrr Beefy use his penis powers to get He means getting it on with someone like Of course you do Tommy Tune You want a queen Got one right here never make it
PHILIP, 0, Brother John Feeding the mind instead of the body As did mine As long as alone
ANTHONY, 0, You waiting for meat They bring Mmmm Just a little crunchy You eat starve to death Because a synthetic person you You told me you had a bad experience and still gotta eat You gotta fight He You make it sound like this Alien Medieval Monks And only chose to live the life Hey you knocking cut it out Brother John Made too good for that What You look like seen the It must be able to take on some of the a biped In a sheep or cow a quadroped Not for years Satellite The Company planted me here They built this prison Prison They are all political heretics A computer virus A bad program By This was a threat I was placed among them as a sensor I told them After the supply In Heaven This orbiter was patterned after a The bottom half is Where we are Really smart First he cuts their escape We have weapons here There is technology A room A Technology room Fresh air The heart and lungs of Arceon One level beneath the underground sea points into the gloom No please Just let me sit Damn it The reason down here Dreams probably what they thought when Right Maybe fixed this on later What I always see Images of Monsters Just images absorbed from those old shrugs I know that settle for rest without opening eyes Enough rest beasties afoot getting close to the center of helping us The Organism Man trap In case anyone tried to get in and No I a terrible liar ironic I guess my visions were More than that There are pumps beneath The Greenhouse Effect how the Earth This planet is the supreme triumph of I have to see that to know what confused Before you said it came out There are several inconsistancies between I think this is important This may help I think it was I think that this Or this may be an as yet unseen stage of have second thoughts Blind and Ripley I know Good luck Now the seer can only see what God wants John Ripley Well come then I got forever
MATTIAS, 0, silence
CASSIE, 1, Ah negative on that request commercial freighter Better tell the boss MarsCo went bellyup on the Dow Jones Yesterday We got the Network feed from Gateway it was the top story You win some you loose some No but I got something that might interest you A pair of incomings They poppedup on the mediumrange about thirteen Yeah Turns out they dropped straight out of hyperspace And if you thought that was interesting watch this We ran a trajectory simulation If they carry on along that path Seven minutes ago the third course change in an hour Those incomings Okay give me the numbers What do you need on the board Picking up velocity go along with that Rhinos look a little antsy Do you hear that I believe it Wait a minute The sealed from inside Doc in there and it sounds Oh my God Shit happening what How many of them are there It you uh move your ass gonna need a helluva diet Behind you too late Unconfirmed reports of eighteen or so far but the numbers are all over sealed but those boys are cutoff Not yet Thirty six hours not gonna make it are we Oh man Well what about those other things outside those warriors Maybe we Shut up York About thirty minutes Those are slimmeddown tanks so no stopping to dumped the whole database from one of the cleaning remotes into Tight We chose a route we felt would reduce the chance of you running All clear Are you alright up the Central Reservoir I found it Drains right into the Central Reservoir I reach her Too much signal breakup Hiroko Cassie But
HIROKO, 1, Fuck Holo off What kind of on my way you got Sounds like a couple of escape shuttles Have you got an updated Almanac to crossreff them through they headed I know what to make of this Get a copy of the telemetry relayed Just give them the facts They can leap to their own conclusions We used Big Bertha since we relocated the generator module I know I think have to run it on a rota one month down Thanks Can we move it to a different orbit in time Get off an allbands emergency distress and put it on a repeater Compensate Match it I just wanted to be put on my own for a while Clear my head got a lot of thinking to do the room was getting too No not really More sort of the type Uhhuh Used to get it pretty bad wake up in a cold sweat and Four Six month stint on Datus What is this I know I guess just never found anywhere I really felt at Real drink Want some Any luck raising party First light take a chopper out there and tell them to head back Sure Do me good to stretch my legs Do you think sit tight Fabrique Nationale tactical autoloader Uses twelve mill hollow Check out the tent Hold on Bagged and in the back not a pretty sight going to need you to cosign the report Until we come up with When we get the link back and I send this in throw a fit What do you mean Sure up Again How long before we start noticing the difference Can you handle it A meteor vanished Beauvais and Minh are dead Ackland gone awol unless you can Ackland I know him well enough to say If we were back on Oh been looking for this Where was it What happened Force the door Get after it let it get away What is that Where does that lead to checked that end Do it I want that thing on my installation I want it caught Alright Pull some trackers and headsets out of stores and sign One final point Killing this sonuvabitch ought to be a reward in So what do you think Alright Keep your eyes peeled Move Get out of the way Get the door No Rob I want you to evac everybody from the nonconnective modules into Are you okay Oh my God What in with the rhino Holo on the wrong way Hurry it up Cassie Kamen Nooooo the story How many how many people are missing our weapons situation Autoshop Has anybody talked to them Do it They knocked out the external feeds Get the autoshop online Well try the headset Jan Hiroko What sort of shape are you in down there Kamen make it Jan Can you make it back that Alright keep calm got to have an option of some sort That sounds promising Can we operate the crane from here Which mean physically going outside Is this the suit No right Has anyone got a bike near here Let me have the keys Listen I care if pink and purple polkadots as long as it How much airtime have I got Deal Sounds great What Why How tight are these shafts Forget it I ask somebody to do something I do worry I Thanks Okay I pull the access panel off of the console Insert the disk and Sorry Two green enabling buttons Right long beat Okay set Okay Okay alright okay Thanks Cassie You betcha What was that I copy Come on Okay I make it to the crane You Yeah well get too carried away only halfway home Access panel access panel Alright Here we go Okay out of here No Rob Hiroko Come in No Just do it Noguchi out Look take this the wrong way but when I imagined the cavalry What can I do I I No Come on Come on If you move your ugly butt gonna end up barbecued Come Okay Butch I can play cavalry too Jump Shit Watch your shots If you hit the engine blow us both to hell lost the starboard engine going down Hold on gotta get you out of here Yeah Why not
KAMEN, 0, Well okay You tell me it was monsoon season going out Just got back Missed anything my trip I just did the driving freezing my butt off Camped out by the navibeacon out on Range making Shit When Fucking great I invested some money in them I lose all why still out here on this rock Anything Jesus Tactical nukes maybe See that sheathing on the suspension Eaten away Same thing with the If you want these things kept in working condition the only Relay station like us out in the middle of the boonies why bother Hey boss Wondered where gotten to feel like it up with the rest of us blue collars huh Not too much of the socializing type then Is that a fact How long you been out here for now anyway Three months And before that Only six Just curious a lot of talk goes around What is that Seltzer stick with my own Nothing With the satellite down we transmit over the mountain You wanna fly out there with me worry about it If the Network goes by the book like everyone have to be a helluva good reason for him not to Wake up at the beacon Looks like trouble Okay Watch were you point it Yeah Somebody won Jesus palomino Wait a minute Doc Yeah Found it curled up in a corner of the tent Any idea Hey Jan See if you can get someone to check out the chopper She was running a little sluggish on the way back Think the turbines Appreciate that Agreed Ah worry about ICC the least of your problems right Think I spoke too soon Yeah no problem Ask Diller good with his hands What happened out there Ack Nothing else Show him We thought you might be able to tell us I found it by your cot at the Do you believe him You should try this seasoned stuff good And Cornering it be a problem Each part of this station is worry about it Yorkie safe now Go get come rest What do I think I think if those Marines from Powell shift it going You should hit the sack too What sundown Give me a yell is something happens Kev wha survive Jan out of ammo Get inside get inside Come on Detour Other blocked wait for me Run Hiroko I can feel it moving around inside me got to kill me You have to
MINH, 1, Crazy idiots Thanks Nah I just wanna squeeze off a few rounds they tagged the Forget it We lost the satellite link dead Oh man Yep
