BANG;andy;A GIANT CLAW RIPS THROUGH THE SILO DOOR RIGHT BETWEEN THE  
KYLE;female;The Abbot will be pleased Don't what You want to be the Abbey's Physician I shouldn't have Sorry  Look I know Not coming down John  Wait    Don't go in John  what is it  Is this a Supply ship John  Just get the hell out of there  Her  Look this is not the supply ship You shouldn't have gone in  What was it like in there  Just lights  Hey  Watch it What  What is it John  relax  Take a deep breath  Is that it John  Is it the book  Everything's gonna be fine  Now let's Sure  Everything's gonna be fine Wait  JOHN      sotto Cards on the floor fifty two pickup Ace up  Put the ace up  Redaceupup 
JOHN;male;Don't Please don't tell him  At least until You don't but thanks anyway I have someone waiting for me Come on Mattias Brother Philip My training has taught me to feed what's How could I forget  Have a good meal Perfect He likes when I read to him and  I  Father I  I'll reserve judgement until the patient Thank you  In the year of our Lord 1348 I Brother  fled  I have put this to parchment lest     No  No supplies  Kyle there's someone I don't want to stay  I have to get her All right  I'm supposed to be a doctor She could've been lost Lights  So many lights  Machines  Buttons  Metal Thousands of lights  Like the stars   You're out of it  Out of it I don't think she's here yet She is close though What is it  What's wrong But I  Her meals  Father I don't understand  What Huh  A woman One of your sheep  Jesus Christ You're no help  Okay let me get my bag So would I  It's freezing in here Haven't we all May be pneumonia  Pitch some of that hay First I'll  Wait a minute I don't know  It's all over the ground Jesus  Help m   This woman  Ripley  I tended her  Please sir let me finish  I feel that I don't understand what you are doing From what  This woman  You never gave You didn't see this thing  this demon  I  I don't know what it was  But I But she tried to warn us  But I believe her  I don't know how to      points to his head It's  It's her conviction  I just think  That's what she said But I       slowly  Now find John and have him brought to  I  Abbot  Must       panting Don't humor me  I'm        hoarse Anthony  Thought you dead fifteen years I  I'm looking  the Abbot  Puh pant Please Wait a minute  I thought you were the Yes  I mean no  I mean that was part of We all are  Took vows I'm sure he thinks what he did was right No  Charity Arceon We can't Leave Arceon  Can't leave the library  Books The reason we are out here  Like the Some of these books survived the burning We're supposed to protect them He's a spy Colony The order was more of a counter culture After a scare like that thousands flocked They sold the technology  A movement  We were sentenced as political dissidents      beat The Abbey the fields  The sea As a stone falls  Five miles through Ropes cut There are ladders You can't  I need you  I can't do it alone We renounced technology  It was those God I don't know  I just took it for granted That's five levels up  A chance Those things you said before  I read about it in psychology books You make it sound human I think I do  Jesus Christ  Ripleeeee   You're welcome Hold this against your nose  It'll I'm a doctor Visions They're portents  They stand for an You need sleep No  We all need rest  You especially Doctor's orders Besides you see what happens when you What do you mean See my bag Just a book It's just a medical book I might need Only if you can eat bandages You all right You weren't hurt when I landed on you Sort of  My father passed on when we  You haven't eaten since I took you Blood Getting close Father  No one could be We are going to the Technology Room Please  Sir  Ripley  Brother I just  are you allright Hello I think this is it     HURRY I thought we'd lost you Last will and testament Resting Sir  We're all in the same coracle so Yes What Ripley wait  Ripley don't  I believe  I know  that we can win  If that's true then all of us the books How does this explain the thing that came No what Brother  We had better go then Must be day on the surface of the planet Mirrors  Reflect the outside light down Opens to the surface  Water flows in We cross They'll be fine  You've been on Father Anselm used to take me on his Five  The Abbot said they put us to  Never had one  I mean never knew her The girl in the ship with  Jesus Christ You didn't choose to get lost in space Brother From the levels above He must have slaughtered all  There's Andrew  And Raphael  Peter We're right below the Abbey now This is the glassworks  They have Kyle  Brother Kyle Kyle goddammit Keep singing my friend I killed him  I'm a doctor and I No  He hasn't been up here yet  I  Here  philosophy  we'll start here  Mattias He waited  Ripley this is Mattias  My Easy boy Not that will do us any good We hurt it On the roof directly above this room But the books  No  THE BOOKS  Are you all right  Ripley   Ripley  the lever Saw that happen to a bottle once We've got to get to the Library  Some of them  I've got to save some of The Library  What does that mean It means the Abbot could've been right  Not everything  Some things will be What can I do Hey  What Hey  I'm locked in What What  You can't  My book  I know what to do  You can't do this  Ripley  listen NO  No Goddammit  you can't do this Listen to me  You have to let me try I told you Father Anselm raised me Please      forceful Shut up and drink Choking  It was the only way  They knew That's idea  Joinmy brothers  If You are from the real world Stay  both of you We were looking at apartments Eight o'clock  We were going out for my  It's alright It's alright Don't be  There are soldiers near here Guards I'll  Right We better get away from that Bee He  Bees That's what we call the dead the  He was a pirate who sailed these waters  That's the man He's been holed up here  Captain Rhodes and his Red Coat Bees They  Give that to me Get behind me Stay behind  I know you can Like I said we been  explaining We found nine entrances to the  How we gonna break the curse without a  What is it if it ain't a curse That sounds like a curse to me I'm sure that's true miss And that's why  That's why we didn't use prayers on this  You think you can find your boat There's a  We didn't see the exact spot but we know  Farther than you think You'll get lost  We don't need her guns that bad Billy boy  We'll split up Billy you go with Spider  The fences make a safe pathway to Stalag  This is home darlin' Home for us that  It's a tunnel It's a couple hundred yards  It's OK It's OK Doc She's with us This here's the hospital That's Diesel  This here's all the weapons we got That's  Ammunition You got ammunition in your pack  We better just hide the whole pack  Let's go You look like you could use some  This just ain't your day is it darlin'  Three more minutes Then you can sleep You  They supply us with disinfectant and dope  You disappear in here darlin' You get a  This is your hotel I'm not gonna stay here  Some may notice that you're new Just deny  He's just finding another reason for  Ain't no place safe The hospital surprised worried Maybe Give him a chance What'dya tell that soldier soldier You  We got a boat I say we got a boat Can you get other  I'm gonna trust him Diesel He already  Can't walk around here with these Let's  You're sick Doc You been sick for a while  You've helped us enough providin' cover  We're hopin' you can show us where ta go  We're gonna blow up the powder magazine We know what's down there We did the  Datura Datura Metel The Devil's Trumpet Don't  We always planned to use it We got some  Quicker than gas And it smells a lot  I say it's poetic Pure calypso brother  We're only about a quartermile from Cave  Come on Let's go Just stand guard for now Spell us after a  Wellif ya think about itwe as ready  What you wanna do What is it Damn you island Damn you ta Hell and  Satan ain't sent this man back Not yet  Just me I'll take the next shift Forever darlin' Forever 'Til he turns ta  Some of us have to get some sleep around  Enough      continuing Shitheads  Defacing my property  I showed  Kids are what's ruining this country     continuing Who the hell told you to come live here in the  She don't show her face for five years then  What the fuck  That's it Debra keep slipping her the cash      re Danny You ever raise your hand to me again I'll kill  I want her and that kid out of here tonight    barking What is it this time What the fuck are you doing letting strangers  What in God's name are you talking about     whispers Trickortreat to you too  Pretty woman walking down the street   Damn kid  this is my house     continuing Debra  I'm home    continuing mutters All right  You can all come out now  What is this shit So this is the game you wanna play Fine  Go  Is that you you little brat  Danny    continuing    continuing What the hell  'Bout time What's with that guy Yo man I think that devil guy just got Yeah  You do it That way The Dark Prince is here Six six six pick up sticks By the way Nicky  Check this out No wonder your uncle's so weird Come on  One more time She was human I dated a Japanese girl once  My By she do you mean he Easy Liberace That's a big pass Elton John Whoa that chick must be the real deal There's like a total mob scene coming What would your dad do Nicky Look at Queen Latifah steppin' up Little nervous  Wanna puke Sure do  You got what we want We think he's the son of Satan Noon But what about the cash  Can we keep it No thanksbut we'll take that bottle Schnapps Wanna hit Weed lowers the body temperature And give you a good buzz Uh  No it won't Urrugggerrr Can't Beefy use his penis powers to get He means getting it on with someone like Of course you do Tommy Tune You want a queen  Got one right here He'll never make it
PHILIP;male;Brother John Feeding the mind instead of the body As did mine  As long as you're alone
ANTHONY;male;You waiting for meat  They don't bring Mmmm  Just a little crunchy You don't eat you'll starve to death Because I'm a synthetic person you don't You told me you had a bad experience and You've still gotta eat  You gotta fight He  You make it sound like this Alien Medieval Monks And they've only chose to live the life Hey  you knocking  cut it out  Brother John Made too good for that  What're What  You look like you've seen the It must be able to take on some of the It's a biped  In a sheep or cow a quadroped Not for years Satellite The Company planted me here They built this prison Prison  They are all political heretics   A computer virus  A bad program  By This was a threat  I was placed among them as a sensor I told them  After the supply ship's In Heaven This orbiter was patterned after a  The bottom half is "Hell"  Where we are Really It's smart  First he cuts their escape We don't have weapons here There is technology A room  A Technology room  Fresh air The heart and lungs of Arceon One level beneath the underground sea      points into the gloom   No  please  Just let me sit Damn it The reason I'm down here Dreams That's probably what they thought when Right  Maybe they've fixed this on later What I always see  Images of Monsters Just images I've absorbed from those old      shrugs I know that  I'll settle for rest     without opening eyes Enough rest  There's beasties afoot We're getting close to the center of She's helping us  The Organism  Man trap In case anyone tried to get in and No I won't  He's a terrible liar It's ironic  I guess my visions were More than that  There are pumps beneath The Greenhouse Effect  It's how the Earth This planet is the supreme triumph of I didn't have to see that to know what I'm confused  Before you said it came out There are several inconsistancies between I think this is important  This may help I don't think it was  I think that this  Or this may be an as yet unseen stage of Don't have second thoughts  Blind and Ripley I know  Good luck Now the seer can only see what God wants John  Ripley Well come then  I haven't got forever
MATTIAS;male;
CASSIE;female;Ah negative on that request commercial freighter 'NanShan'  I've  Better tell the boss MarsCo went bellyup on the Dow Jones Yesterday  We got the Network feed from Gateway it was the top story  You win some you loose some No but I got something that might interest you A pair of incomings  They poppedup on the mediumrange about thirteen  Yeah  Turns out they dropped straight out of hyperspace And if you thought that was interesting watch this We ran a trajectory simulation  If they carry on along that path it's  Seven minutes ago the third course change in an hour  Those incomings  Okay give me the numbers What do you need It's on the board Picking up velocity I'll go along with that Rhinos look a little antsy Do you hear that I don't believe it Wait a minute The door's sealed from inside  Doc Revna's in there and it sounds  Oh my God Shit What's happening We're what How many of them are there It you don't uh move your ass you're gonna need a helluva diet  Behind you It's too late Unconfirmed reports of eighteen or so far but the numbers are all over  Autoshop's sealed but those boys are cutoff Not yet Thirty six hours We're not gonna make it are we Oh man Well what about those other things outside those warriors  Maybe we  Shut up York About thirty minutes  Those are slimmeddown tanks so no stopping to  We've dumped the whole database from one of the cleaning remotes into  Tight  We chose a route we felt would reduce the chance of you running  All clear Are you alright Comin' up the Central Reservoir I found it Drains right into the Central Reservoir I can't reach her  Too much signal breakup Hiroko it's Cassie  What's But
HIROKO;female;Fuck  Holo off What kind of 'something' I'm on my way What've you got Sounds like a couple of escape shuttles Have you got an updated Lloyds' Almanac to crossreff them through Where're they headed I don't know what to make of this  Get a copy of the telemetry relayed  Just give them the facts  They can leap to their own conclusions We haven't used Big Bertha since we relocated the generator module   I don't know  I think we'll have to run it on a rota one month down  Thanks Can we move it to a different orbit in time Get off an allbands emergency distress and put it on a repeater Compensate Match it I just wanted to be put on my own for a while  Clear my head I've got a lot of thinking to do  'Sides the room was getting too  No not really  More sort of the  'claustrophobic' type Uhhuh  Used to get it pretty bad  I'd wake up in a cold sweat and  Four Six month stint on Datus What is this  'Twenty Questions' I don't know  I guess I've just never found anywhere I really felt at  Real man' drink Want some Any luck raising Ackland's party First light we'll take a chopper out there and tell them to head back Sure  Do me good to stretch my legs Do you think Ackland'll sit tight Fabrique Nationale tactical autoloader Uses twelve mill hollow 'O'  Check out the tent Hold on Bagged and in the back  They're not a pretty sight I'm going to need you to cosign the report  Until we come up with  When we get the link back and I send this in ICC'll throw a fit What do you mean Sure  What's up Again  How long before we start noticing the difference Can you handle it A meteor York's vanished Beauvais and Minh are dead Ackland  York's gone awol unless you can  Ackland  I don't know him well enough to say  If we were back on  Oh I've been looking for this  Where was it What happened Force the door Get after it don't let it get away What is that Where does that lead to You've checked that end Do it  I don't want that thing on my installation  I want it caught  Alright  Pull some trackers and headsets out of stores and I'll sign  One final point  Killing this sonuvabitch ought to be a reward in  So what do you think Alright  Keep your eyes peeled Move  Get out of the way Get the door No Rob  I want you to evac everybody from the nonconnective modules into  Are you okay Oh my God What They're in with the rhino Holo on That's the wrong way Hurry it up Cassie Kamen Nooooo What's the story How many how many people are missing What's our weapons situation Autoshop Has anybody talked to them Do it They knocked out the external feeds Get the autoshop online Well try the headset Jan it's Hiroko  What sort of shape are you in down there Kamen didn't make it Jan Can you make it back What's that Alright let's keep calm  We've got to have an option of some sort  That sounds promising  Can we operate the crane from here Which mean physically going outside Is this the suit No he's right  Has anyone got a bike near here Let me have the keys Listen I don't care if it's pink and purple polkadots as long as it  How much airtime have I got Deal Sounds great What  Why How tight are these shafts Forget it  I wouldn't ask somebody to do something I wouldn't do  Don't worry  I won't Thanks Okay I pull the access panel off of the console  Insert the disk and  Sorry  Two green enabling buttons Right   long beat   Okay I'm set Okay  Okay It's alright  I'm okay Thanks Cassie You betcha What was that  I don't copy Come on Okay I make it to the crane  You Yeah well don't get too carried away we're only halfway home   Access panel access panel Alright  Here we go Okay I'm out of here No Rob it's Hiroko  Come in No 'buts'  Just do it  Noguchi out Look  Don't take this the wrong way but when I imagined the cavalry  What can I do I I can't No Come on  Come on If you don't move your ugly butt we're gonna end up barbecued  Come  Okay Butch  I can play cavalry too C'mon  Jump Shit Watch your shots  If you hit the engine you'll blow us both to hell We've lost the starboard engine  We're going down  Hold on We've gotta get you out of here Yeah  Why not
KAMEN;male;Well it's okay  You didn't tell me it was monsoon season going out Just got back  Missed anything Wasn't my trip I just did the driving 'Sides freezing my butt off  Camped out by the navibeacon out on Linson's Range  They're making  Shit  When Fucking great  I invested some money in them I lose 'em all that's why I'm still out here on this rock  Anything  Jesus Tactical nukes maybe See that sheathing on the suspension Eaten away  Same thing with the  If you want these things kept in working condition that's the only  Relay station like us out in the middle of the boonies why bother   Hey boss  Wondered where you'd gotten to Didn't feel like whoopin' it up with the rest of us blue collars huh Not too much of the socializing type then Is that a fact How long you been out here for now anyway  Three months And before that Only six Just curious  There's a lot of talk goes around What is that Seltzer I'll stick with my own Nothing  With the satellite down we can't transmit over the mountain  'We'  You wanna fly out there with me Don't worry about it  If the Network goes by the book like everyone  There'd have to be a helluva good reason for him not to Wake up  We're at the beacon Looks like trouble Okay  Watch were you point it Yeah  Somebody won Jesus palomino Wait a minute Doc Yeah  Found it curled up in a corner of the tent  Any idea Hey Jan  See if you can get someone to check out the chopper She was running a little sluggish on the way back  Think the turbines  Appreciate that Agreed Ah don't worry about ICC  They're the least of your problems right  Think I spoke too soon Yeah no problem  Ask Diller he's good with his hands What happened out there Ack Nothing else Show him 'Fido' We thought you might be able to tell us I found it by your cot at the  Do you believe him You should try this seasoned stuff  It's good And Cornering it shouldn't be a problem  Each part of this station is  Don't worry about it Yorkie  You're safe now  Go get come rest What do I think  I think if those Marines from Powell don't shift  How's it going You should hit the sack too What time's sundown Give me a yell is something happens Kev wha I'll survive Jan I'm out of ammo  Get inside get inside Come on Detour  Other way's blocked Don't wait for me Run Hiroko I can feel it moving around inside me You've got to kill me You have to
MINH;female;Crazy idiots Thanks Nah  I just wanna squeeze off a few rounds  'Sides they tagged the  Forget it  We lost the satellite link It's dead Oh man Yep
