10 Things I Hate About You;['Comedy', 'Romance'];['Karen McCullah Lutz', 'Kirsten Smith', 'William Shakespeare'];10_Things_I_Hate_About_You;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/10_Things_I_Hate_About_You.txt
12;['Comedy'];['Lawrence Bridges'];12;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/12.txt
12 and Holding;['Drama'];['Anthony Cipriano'];12_and_Holding;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/12_and_Holding.txt
12 Monkeys;['Drama', 'Sci-Fi', 'Thriller'];['David Peoples', 'Janet Peoples'];12_Monkeys;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/12_Monkeys.txt
12 Years a Slave;['Drama'];['John Ridley'];12_Years_a_Slave;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/12_Years_a_Slave.txt
127 Hours;['Adventure', 'Drama', 'Thriller'];['Simon Beaufoy', 'Danny Boyle'];127_Hours;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/127_Hours.txt
1492: Conquest of Paradise;['Adventure', 'Drama'];['Roslyne Bosch'];1492:_Conquest_of_Paradise;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/1492:_Conquest_of_Paradise.txt
15 Minutes;['Action', 'Crime', 'Thriller'];['John Hertzfield'];15_Minutes;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/15_Minutes.txt
17 Again;['Comedy', 'Drama', 'Romance'];['Jason Filardi'];17_Again;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/17_Again.txt
187;['Drama'];['Scott Yagemann'];187;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/187.txt
2001: A Space Odyssey;['Adventure', 'Sci-Fi'];['Stanley Kubrick', 'Arhur C. Clarke'];2001:_A_Space_Odyssey;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/2001:_A_Space_Odyssey.txt
2012;['Action', 'Adventure', 'Drama', 'Sci-Fi', 'Thriller'];['Roland Emmerich', 'Harald Kloser'];2012;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/2012.txt
25th Hour;['Crime', 'Drama'];['David Benioff'];25th_Hour;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/25th_Hour.txt
28 Days Later;['Drama', 'Horror', 'Sci-Fi'];['Alex Garland'];28_Days_Later;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/28_Days_Later.txt
30 Minutes or Less;['Action', 'Adventure', 'Comedy'];['Michael Diliberti', 'Matthew Sullivan'];30_Minutes_or_Less;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/30_Minutes_or_Less.txt
42;['Drama'];['Brian Helgeland'];42;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/42.txt
44 Inch Chest;['Crime', 'Drama'];['Louis Mellis', 'David Scinto'];44_Inch_Chest;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/44_Inch_Chest.txt
48 Hrs.;['Action', 'Comedy', 'Thriller'];['Steven E. De Souza', 'Walter Hill', 'Roger Spottiswoode', 'Larry Gross', 'Jeb Stuart'];48_Hrs;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/48_Hrs.txt
50-50;['Comedy', 'Drama'];['Will Reiser'];50-50;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/50-50.txt
500 Days of Summer;['Comedy', 'Drama', 'Romance'];['Scott Neustadter', 'Michael H. Weber'];500_Days_of_Summer;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/500_Days_of_Summer.txt
8MM;['Mystery', 'Thriller'];['Andrew Kevin Walker'];8MM;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/8MM.txt
9;['Animation', 'Adventure', 'Drama', 'Fantasy', 'Sci-Fi'];['Pamela Pettler', 'Shane Acker'];9;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/9.txt
A Few Good Men;['Crime', 'Drama', 'Mystery', 'Thriller'];['Aaron Sorkin'];A_Few_Good_Men;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/A_Few_Good_Men.txt
A Most Violent Year;['Action', 'Crime', 'Drama'];['J.C. Chandor'];A_Most_Violent_Year;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/A_Most_Violent_Year.txt
A Prayer Before Dawn;['Crime', 'Drama'];['Jonathan Hirschbein'];A_Prayer_Before_Dawn;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/A_Prayer_Before_Dawn.txt
A Quiet Place;['Drama', 'Horror', 'Sci-Fi'];['Bryan Woods', 'Scott Beck', 'John Krasinski'];A_Quiet_Place;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/A_Quiet_Place.txt
A Scanner Darkly;['Animation', 'Crime', 'Drama'];['Charlie Kaufman'];A_Scanner_Darkly;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/A_Scanner_Darkly.txt
A Serious Man;['Comedy'];['Joel Coen', 'Ethan Coen'];A_Serious_Man;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/A_Serious_Man.txt
Above the Law;['Action'];['Steven Pressfield', 'Ronald Shusett', 'Andrew Davis', 'Steven Seagal'];Above_the_Law;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/Above_the_Law.txt
Absolute Power;['Thriller', 'Crime', 'Drama'];['David Baldacci', 'William Goldman'];Absolute_Power;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/Absolute_Power.txt
Abyss, The;['Action', 'Adventure', 'Sci-Fi', 'Thriller'];['James Cameron'];Abyss;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/Abyss.txt
Ace Ventura: Pet Detective;['Comedy'];['Jack Bernstein', 'Tom Shadyac', 'Jim Carrey'];Ace_Ventura:_Pet_Detective;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/Ace_Ventura:_Pet_Detective.txt
Adaptation;['Comedy', 'Drama'];['Charlie Kaufman', 'Donald Kaufman'];Adaptation;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/Adaptation.txt
Addams Family, The;['Comedy', 'Fantasy', 'Horror', 'Family'];['Charles Addams', 'Caroline Thompson'];Addams_Family;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/Addams_Family.txt
Adjustment Bureau, The;['Romance', 'Sci-Fi', 'Thriller'];['George Nolfi', 'Philip K Dick'];Adjustment_Bureau;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/Adjustment_Bureau.txt
Adventures of Buckaroo Banzai Across the Eighth Dimension, The;['Adventure', 'Comedy', 'Romance', 'Sci-Fi'];['Earl Mac Rauch'];Adventures_of_Buckaroo_Banzai_Across_the_Eighth_Dimension;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/Adventures_of_Buckaroo_Banzai_Across_the_Eighth_Dimension.txt
Affliction;['Drama'];['Russell Banks', 'Paul Schrader'];Affliction;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/Affliction.txt
After School Special;['Comedy'];['David H. Steinberg'];After_School_Special;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/After_School_Special.txt
After.Life;['Drama', 'Horror', 'Thriller'];['Agnieszka Wojtowicz-Vosloo'];After;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/After.txt
Agnes of God;['Drama', 'Mystery'];['John Pielmeier'];Agnes_of_God;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/Agnes_of_God.txt
Air Force One;['Action', 'Adventure', 'Drama', 'Thriller'];['Andrew W. Marlowe'];Air_Force_One;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/Air_Force_One.txt
Airplane;['Comedy', 'Romance'];['Jim Abrahams', ' David Zucker', 'Jerry Zucker'];Airplane;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/Airplane.txt
Airplane 2: The Sequel;['Comedy', 'Sci-Fi'];['Ken Finkleman'];Airplane_2:_The_Sequel;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/Airplane_2:_The_Sequel.txt
Aladdin;['Animation', 'Family', 'Musical', 'Fantasy', 'Comedy'];['Roger Allers', 'Ron Clements'];Aladdin;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/Aladdin.txt
Ali;['Drama'];['Stephen J Rivele', 'Christopher Wilkinson', 'Eric Roth', 'Michael Mann'];Ali;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/Ali.txt
Alien;['Action', 'Horror', 'Sci-Fi', 'Thriller'];['Walter Hill', 'David Giler'];Alien;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/Alien.txt
Alien 3;['Action', 'Drama', 'Horror', 'Sci-Fi', 'Thriller'];['Rex Pickett'];Alien_3;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/Alien_3.txt
Alien Nation;['Crime', 'Drama', 'Sci-Fi'];["Rockne O'Bannon", 'James Cameron'];Alien_Nation;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/Alien_Nation.txt
Alien vs. Predator;['Action', 'Horror', 'Sci-Fi', 'Thriller'];['Peter Briggs'];Alien_vs;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/Alien_vs.txt
Alien: Resurrection;['Action', 'Horror', 'Sci-Fi', 'Thriller'];['Joss Whedon'];Alien:_Resurrection;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/Alien:_Resurrection.txt
Aliens;['Action', 'Horror', 'Sci-Fi', 'Thriller'];['James Cameron'];Aliens;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/Aliens.txt
All About Eve;['Drama'];['Joseph Mankiewicz'];All_About_Eve;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/All_About_Eve.txt
All About Steve;['Comedy'];['Kim Barker'];All_About_Steve;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/All_About_Steve.txt
All the King's Men;['Drama'];['Robert Rossen'];All_the_King's_Men;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/All_the_King's_Men.txt
All the President's Men;['Drama', 'Thriller'];['William Goldman'];All_the_President's_Men;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/All_the_President's_Men.txt
Almost Famous;['Comedy', 'Drama', 'Romance'];['Cameron Crowe'];Almost_Famous;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/Almost_Famous.txt
Alone in the Dark;['Action', 'Horror', 'Thriller'];['Elan Mastai', 'Michael Roesch'];Alone_in_the_Dark;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/Alone_in_the_Dark.txt
Amadeus;['Drama'];['Peter Shaffer'];Amadeus;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/Amadeus.txt
Amelia;['Drama'];['Ronald Bass', 'Anna Hamilton Phelan'];Amelia;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/Amelia.txt
American Beauty;['Drama'];['Alan Ball'];American_Beauty;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/American_Beauty.txt
American Gangster;['Crime', 'Drama'];['Steven Zaillian', 'Mark Jacobson'];American_Gangster;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/American_Gangster.txt
American Graffiti;['Comedy', 'Drama'];['George Lucas', 'Gloria Katz', 'Willard Huyck'];American_Graffiti;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/American_Graffiti.txt
American History X;['Crime', 'Drama', 'Thriller'];['David McKenna'];American_History_X;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/American_History_X.txt
American Hustle;['Crime', 'Drama'];['Eric Warren Singer', 'David O. Russell'];American_Hustle;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/American_Hustle.txt
American Madness;['Drama'];['Robert Riskin'];American_Madness;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/American_Madness.txt
American Milkshake;['Comedy'];['David Andalman', 'Mariko Munro'];American_Milkshake;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/American_Milkshake.txt
American Outlaws;['Action', 'Comedy', 'Western'];['Roderick Taylor', 'John Rogers'];American_Outlaws;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/American_Outlaws.txt
American Pie;['Comedy'];['Adam Herz'];American_Pie;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/American_Pie.txt
American President, The;['Comedy', 'Drama', 'Romance'];['Aaron Sorkin'];American_President;/media/lhodges/B41C1C421C1C0252/Users/lhodges/Documents/ML/movie_scripts/data/scraping/texts/American_President.txt
